职位,公司名称,薪资范围,城市,经验要求,学历要求,领域,公司性质,规模,标签
IT经理,昆山联滔电子有限公司,2.5-3.5万,昆山,8年及以上,本科,电子技术/半导体/集成电路,民营,,"['团队管理', 'spc', 'ai', '英语听说读写', '软件编程', '开发维护', '项目推广', 'ar', '可视化', 'it项目管理', '五险一金', '年终奖金', '定期体检', '餐饮补贴']"
软件首席技术官CTO,伟尔泰克智造科技（苏州）有限公司,40-60万/年,昆山,8年及以上,本科,计算机软件,民营,150-500人,"['团队管理', '软件开发', '技术管理', '技术指导', '风险管理', '指导', '计算机科学', '技术创新', '供应商关系', '方案', '五险一金', '通讯补贴', '专业培训', '出国机会', '绩效奖金', '年终奖金']"
Team Lead IT-Consulting,普安华信息技术咨询（太仓）有限公司,15-25万/年,太仓,7年及以上,本科,计算机软件,外资（欧美）,少于50人,"['五险一金', '年终奖金', '绩效奖金', '双休', '带薪年假', '专业培训', '定期体检', '零食下午茶']"
信息化经理,浙江华瑞航空制造有限公司,2.5-3万·13薪,杭州,10年及以上,本科,航天/航空,国企,150-500人,"['智能工厂', '数字化', '制造业', '五险一金', '绩效奖金', '定期体检', '专业培训', '餐饮补贴', '带薪年假', '节日福利', '周末双休', '免费班车', '方案']"
数字化经理,江苏港通电缆有限公司,20-30万/年,张家港,5年及以上,本科,机械/设备/重工,民营,150-500人,"['erp', '项目实施', 'mes', '物联网', '数据建模', '数字化管理', '智能工厂', '数字化系统', '项目管理', '数字化转型']"
IT基础架构运维经理,好孩子儿童用品有限公司,20-40万/年,昆山,5年及以上,本科,家具/家电/玩具/礼品,外资（非欧美）,5000-10000人,"['培训', '管理', 'linux', '服务器', '故障处理', 'pmp', '网络设备', '计算机科学', 'vmware', '故障排查', '五险一金', '免费班车', '年终奖金', '补充医疗保险', '定期体检', '提供住宿']"
IT工程师,苏州康容生物医疗科技有限公司,8千-1.5万,太仓,3-4年,本科,医疗设备/器械,民营,150-500人,"['计算机网络', '服务器', '交换机', '网络工程', '财务软件', 'web服务器', '网络设备', '办公设备', '网络安全', '信息收集', '带薪年假', '节日福利', '年终奖金', '五险一金', '绩效奖金', '包吃', '专业培训']"
IT副经理,苏州新中能源科技有限公司,1.5-2.5万,常熟,5年及以上,本科,新能源,外资（非欧美）,150-500人,"['IT', 'IT经理', 'IT主管', '五险一金', '专业培训', '年终奖金', '育儿假', '年假']"
技术总监,昆山瀚宇国际物流服务有限公司,2.5-3.5万,昆山,8年及以上,本科,交通/运输/物流,民营,150-500人,"['java', 'mysql', '管理', 'oracle', 'redis', '推广', 'rabbitmq', 'kafka', 'mongodb', 'dubbo', '方案']"
软件研发技术总监,伟尔泰克智造科技（苏州）有限公司,36-48万/年,昆山,8年及以上,本科,计算机软件,民营,150-500人,"['管理', '需求分析', '团队管理', '软件开发', '软件工程', '产品开发', '文档编写', '原型设计', '编程语言', '风险管理', '五险一金', '年终奖金', '通讯补贴', '绩效奖金', '专业培训', '出国机会']"
